1,1,0.036968872,1,0.332900435,0.892471552,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.652445734,1,0.511585236,1,0.056171019,1,1,0.124708675,1,0.513502836,1,0.090078503,1,1,0.355086207,1,1,1,1,0.136710152,0.083705716,1,0.109810449,1,1,1,0.208470508,0.241623208,0.088199608,1,1,1,1,0.585002601,1,1,1,1,0.091108203,1,1,0.315131456,1,1,1,1,1,0.495590687,0.083153471,0.101220757,1,1,1,1,1,1,1,1,0.100031987,0.596183896,1,1,1,1,0.250984401,0.167593539,1,1,1,1,1,1,0.1230058,1,1,0.252587527,0.292882651,0.065988533,0.052872475,1
0.980291486,1,0.005014147,0.538214862,0.045832038,0.069590859,1,1,1,1,0.136167407,0.536309183,1,0.211438119,1,1,1,1,1,1,0.069618508,1,0.071316339,0.13866289,0.008986354,1,1,0.01292247,1,0.042062499,0.931414127,0.010722849,1,1,0.033101279,0.449046105,1,1,0.422004133,0.015958058,0.012028419,1,0.009413748,1,0.223509565,1,0.015033084,0.036286898,0.012226474,0.218247429,1,1,1,0.064476892,1,0.432749152,1,1,0.013930337,1,0.596532166,0.025179619,1,0.646711826,1,1,1,0.029609308,0.013204198,0.018085336,1,1,1,0.323015153,1,1,1,1,0.015651042,0.086941853,0.131204724,1,0.40339458,0.193591356,0.031099917,0.028428774,1,0.232585162,1,0.21086897,1,1,0.013507253,0.255456358,1,0.030298341,0.044651724,0.011131161,0.007202375,1
1,1,0.196356162,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.261147887,1,1,0.593460798,1,1,1,0.372422338,1,1,1,1,1,1,1,0.560717344,0.320767671,1,0.418725342,1,1,1,0.845111847,1,0.42440322,1,1,1,1,1,1,1,1,1,0.362713069,1,1,1,1,1,1,1,1,1,0.388538092,0.409715325,1,1,1,1,1,1,1,1,0.440956354,1,1,1,1,1,0.92522347,0.873512983,1,1,1,1,1,1,0.496822357,1,1,0.96439296,1,0.285325259,0.235582829,1
0.832089365,1,0.004356992,0.371747255,0.047054823,0.050390977,1,1,1,1,0.123156108,0.557638228,1,0.214756519,1,1,1,1,1,1,0.060261078,1,0.059990846,0.129288673,0.009730787,1,1,0.010212581,1,0.037916604,0.752432466,0.009598092,1,1,0.028277809,0.333780169,0.858312845,1,0.389769197,0.014179263,0.012034085,1,0.008347459,1,0.216799155,1,0.012841279,0.03239106,0.011529219,0.221082255,1,1,1,0.052020539,1,0.370694846,1,1,0.015836636,1,0.504677892,0.024282658,1,0.716827691,0.981089652,1,1,0.024130747,0.011787555,0.021881986,1,1,1,0.357231438,1,1,1,1,0.015849741,0.083527014,0.121675938,1,0.263580441,0.159529924,0.027118046,0.02682801,1,0.203481331,1,0.185312867,1,1,0.011257416,0.232262701,1,0.031123083,0.046221983,0.010731515,0.006604075,1
1,1,0.955304801,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.935011208,1
1,1,0.065409683,1,0.249853581,0.564011037,1,1,1,1,0.948049903,1,1,1,1,1,1,1,1,1,0.608812153,1,0.469760805,0.249502897,0.068261087,1,0.190658286,0.141378984,1,0.143831521,1,0.068541341,1,1,0.289213151,1,1,1,1,0.075862572,0.083049871,1,0.063680813,1,1,1,0.098190829,0.127811536,0.081074677,0.938491404,1,1,1,0.439150006,1,1,1,1,0.070408627,1,1,0.149394631,1,1,1,1,1,0.089544155,0.065523729,0.068734273,1,1,1,1,1,1,1,1,0.06600602,0.380629808,0.574750781,1,0.370152771,0.490035146,0.067515559,0.065856352,1,1,1,0.983976245,1,1,0.094407983,0.853117347,1,0.158248305,0.246703714,0.087435871,0.06502419,1
1,1,0.727775216,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.750937819,1,1,1,1,1,1,0.767891645,1,1,1,1,1,1,1,0.843582153,0.891041696,1,0.714538813,1,1,1,1,1,0.898198605,1,1,1,1,1,1,1,1,1,0.780698836,1,1,1,1,1,1,1,1,1,0.728552938,0.754393458,1,1,1,1,1,1,1,1,0.73109597,1,1,1,1,1,0.750309646,0.732886732,1,1,1,1,1,1,1,1,1,1,1,0.955903351,0.715511918,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.159676448,1,1,0.416486144,0.015829943,1,1,1,0.012423737,1,1,0.10703297,1,1,1,1,1,1,0.854137719,0.010950902,1,1,1,1,1,1,0.141353101,1,0.201386154,1,1,0.088408835,1,0.894224107,0.00706038,0.307477683,1,0.007498818,1,0.031689584,1,0.040812589,0.014234278,0.029636698,1,1,0.337550104,1,1,1,1,1,1,1,1,0.010454874,1,0.771739662,1,0.124151483,1,1,0.042445052,1,1,0.341219157,0.016580934,1,1,1,0.111643136,0.011638488,1,1,1,0.023547633,0.01418445,0.073231407,1,1,1,1,1,0.003487957,1,1,1,0.011050912,0.022171361,0.241897762,1,0.185438052,1,1,0.418782473,1,0.721729577,0.021054985,0.148254588
1,0.507669985,1,1,1,0.082271367,1,1,1,0.053358655,1,1,0.711214662,1,1,1,1,1,1,1,0.055278972,1,1,1,1,1,1,0.485495955,1,1,1,1,0.417707115,1,1,0.027626399,1,1,0.044063747,1,0.17106317,1,0.267197818,0.071139894,0.156007141,1,1,1,1,1,1,1,1,1,1,1,0.037410889,1,1,1,0.401697725,1,1,0.292793363,1,1,1,0.060068738,1,1,1,0.43186608,0.039072294,1,1,1,0.137910873,0.059034728,0.398942232,1,1,1,1,1,0.020986,1,1,1,0.060974535,0.133647174,0.901125729,1,0.773742557,1,1,1,1,1,0.08603695,0.549759448
