Train Epoch: 1 (epsilon = 0.3017, delta = 1e-05), clip value = 0.6310922686409 for alpha = 45.0
Train Epoch: 1 (epsilon = 0.3034, delta = 1e-05), clip value = 0.6310922686409 for alpha = 45.0
Train Epoch: 1 (epsilon = 0.3051, delta = 1e-05), clip value = 0.6310922686409 for alpha = 45.0
Train Epoch: 1 (epsilon = 0.3068, delta = 1e-05), clip value = 0.6310922686409 for alpha = 45.0
Train Epoch: 1 (epsilon = 0.3085, delta = 1e-05), clip value = 0.6310922686409 for alpha = 44.0
Train Epoch: 1 (epsilon = 0.3101, delta = 1e-05), clip value = 0.6310922686409 for alpha = 44.0
Train Epoch: 1 (epsilon = 0.3118, delta = 1e-05), clip value = 0.6310922686409 for alpha = 44.0
Train Epoch: 1 (epsilon = 0.3134, delta = 1e-05), clip value = 0.6310922686409 for alpha = 44.0
Train Epoch: 1 (epsilon = 0.3151, delta = 1e-05), clip value = 0.6310922686409 for alpha = 44.0
Train Epoch: 1 (epsilon = 0.3167, delta = 1e-05), clip value = 0.6310922686409 for alpha = 43.0
Train Epoch: 1 (epsilon = 0.3183, delta = 1e-05), clip value = 0.6310922686409 for alpha = 43.0
Epoch 1 Test Accuracy: 0.4235
Train Epoch: 2 (epsilon = 0.3199, delta = 1e-05), clip value = 0.5923524470872 for alpha = 43.0
Train Epoch: 2 (epsilon = 0.3215, delta = 1e-05), clip value = 0.5923524470872 for alpha = 43.0
Train Epoch: 2 (epsilon = 0.3231, delta = 1e-05), clip value = 0.5923524470872 for alpha = 43.0
Train Epoch: 2 (epsilon = 0.3247, delta = 1e-05), clip value = 0.5923524470872 for alpha = 43.0
Train Epoch: 2 (epsilon = 0.3263, delta = 1e-05), clip value = 0.5923524470872 for alpha = 42.0
Train Epoch: 2 (epsilon = 0.3279, delta = 1e-05), clip value = 0.5923524470872 for alpha = 42.0
Train Epoch: 2 (epsilon = 0.3294, delta = 1e-05), clip value = 0.5923524470872 for alpha = 42.0
Train Epoch: 2 (epsilon = 0.3310, delta = 1e-05), clip value = 0.5923524470872 for alpha = 42.0
Train Epoch: 2 (epsilon = 0.3325, delta = 1e-05), clip value = 0.5923524470872 for alpha = 42.0
Train Epoch: 2 (epsilon = 0.3341, delta = 1e-05), clip value = 0.5923524470872 for alpha = 42.0
Train Epoch: 2 (epsilon = 0.3357, delta = 1e-05), clip value = 0.5923524470872 for alpha = 42.0
Train Epoch: 2 (epsilon = 0.3372, delta = 1e-05), clip value = 0.5923524470872 for alpha = 41.0
Train Epoch: 2 (epsilon = 0.3387, delta = 1e-05), clip value = 0.5923524470872 for alpha = 41.0
Train Epoch: 2 (epsilon = 0.3402, delta = 1e-05), clip value = 0.5923524470872 for alpha = 41.0
Train Epoch: 2 (epsilon = 0.3417, delta = 1e-05), clip value = 0.5923524470872 for alpha = 41.0
Train Epoch: 2 (epsilon = 0.3432, delta = 1e-05), clip value = 0.5923524470872 for alpha = 41.0
Train Epoch: 2 (epsilon = 0.3448, delta = 1e-05), clip value = 0.5923524470872 for alpha = 41.0
Train Epoch: 2 (epsilon = 0.3463, delta = 1e-05), clip value = 0.5923524470872 for alpha = 40.0
Train Epoch: 2 (epsilon = 0.3478, delta = 1e-05), clip value = 0.5923524470872 for alpha = 40.0
Train Epoch: 2 (epsilon = 0.3492, delta = 1e-05), clip value = 0.5923524470872 for alpha = 40.0
Train Epoch: 2 (epsilon = 0.3507, delta = 1e-05), clip value = 0.5923524470872 for alpha = 40.0
Train Epoch: 2 (epsilon = 0.3522, delta = 1e-05), clip value = 0.5923524470872 for alpha = 40.0
Train Epoch: 2 (epsilon = 0.3536, delta = 1e-05), clip value = 0.5923524470872 for alpha = 40.0
Train Epoch: 2 (epsilon = 0.3551, delta = 1e-05), clip value = 0.5923524470872 for alpha = 40.0
Train Epoch: 2 (epsilon = 0.3566, delta = 1e-05), clip value = 0.5923524470872 for alpha = 40.0
Train Epoch: 2 (epsilon = 0.3581, delta = 1e-05), clip value = 0.5923524470872 for alpha = 39.0
Train Epoch: 2 (epsilon = 0.3595, delta = 1e-05), clip value = 0.5923524470872 for alpha = 39.0
Train Epoch: 2 (epsilon = 0.3609, delta = 1e-05), clip value = 0.5923524470872 for alpha = 39.0
Train Epoch: 2 (epsilon = 0.3623, delta = 1e-05), clip value = 0.5923524470872 for alpha = 39.0
Train Epoch: 2 (epsilon = 0.3638, delta = 1e-05), clip value = 0.5923524470872 for alpha = 39.0
Train Epoch: 2 (epsilon = 0.3652, delta = 1e-05), clip value = 0.5923524470872 for alpha = 39.0
Train Epoch: 2 (epsilon = 0.3666, delta = 1e-05), clip value = 0.5923524470872 for alpha = 39.0
Train Epoch: 2 (epsilon = 0.3681, delta = 1e-05), clip value = 0.5923524470872 for alpha = 39.0
Train Epoch: 2 (epsilon = 0.3695, delta = 1e-05), clip value = 0.5923524470872 for alpha = 38.0
Train Epoch: 2 (epsilon = 0.3709, delta = 1e-05), clip value = 0.5923524470872 for alpha = 38.0
Train Epoch: 2 (epsilon = 0.3723, delta = 1e-05), clip value = 0.5923524470872 for alpha = 38.0
Train Epoch: 2 (epsilon = 0.3737, delta = 1e-05), clip value = 0.5923524470872 for alpha = 38.0
Train Epoch: 2 (epsilon = 0.3751, delta = 1e-05), clip value = 0.5923524470872 for alpha = 38.0
Train Epoch: 2 (epsilon = 0.3764, delta = 1e-05), clip value = 0.5923524470872 for alpha = 38.0
Train Epoch: 2 (epsilon = 0.3778, delta = 1e-05), clip value = 0.5923524470872 for alpha = 38.0
Train Epoch: 2 (epsilon = 0.3792, delta = 1e-05), clip value = 0.5923524470872 for alpha = 38.0
Train Epoch: 2 (epsilon = 0.3806, delta = 1e-05), clip value = 0.5923524470872 for alpha = 38.0
Train Epoch: 2 (epsilon = 0.3820, delta = 1e-05), clip value = 0.5923524470872 for alpha = 37.0
Train Epoch: 2 (epsilon = 0.3833, delta = 1e-05), clip value = 0.5923524470872 for alpha = 37.0
Train Epoch: 2 (epsilon = 0.3847, delta = 1e-05), clip value = 0.5923524470872 for alpha = 37.0
Train Epoch: 2 (epsilon = 0.3860, delta = 1e-05), clip value = 0.5923524470872 for alpha = 37.0
Train Epoch: 2 (epsilon = 0.3874, delta = 1e-05), clip value = 0.5923524470872 for alpha = 37.0
Train Epoch: 2 (epsilon = 0.3887, delta = 1e-05), clip value = 0.5923524470872 for alpha = 37.0
Train Epoch: 2 (epsilon = 0.3901, delta = 1e-05), clip value = 0.5923524470872 for alpha = 37.0
Epoch 2 Test Accuracy: 0.4368
Train Epoch: 3 (epsilon = 0.3914, delta = 1e-05), clip value = 0.5560206989243 for alpha = 37.0
Train Epoch: 3 (epsilon = 0.3928, delta = 1e-05), clip value = 0.5560206989243 for alpha = 37.0
Train Epoch: 3 (epsilon = 0.3941, delta = 1e-05), clip value = 0.5560206989243 for alpha = 37.0
Train Epoch: 3 (epsilon = 0.3954, delta = 1e-05), clip value = 0.5560206989243 for alpha = 36.0
Train Epoch: 3 (epsilon = 0.3967, delta = 1e-05), clip value = 0.5560206989243 for alpha = 36.0
Train Epoch: 3 (epsilon = 0.3981, delta = 1e-05), clip value = 0.5560206989243 for alpha = 36.0
Train Epoch: 3 (epsilon = 0.3994, delta = 1e-05), clip value = 0.5560206989243 for alpha = 36.0
Train Epoch: 3 (epsilon = 0.4007, delta = 1e-05), clip value = 0.5560206989243 for alpha = 36.0
Train Epoch: 3 (epsilon = 0.4020, delta = 1e-05), clip value = 0.5560206989243 for alpha = 36.0
Train Epoch: 3 (epsilon = 0.4033, delta = 1e-05), clip value = 0.5560206989243 for alpha = 36.0
Train Epoch: 3 (epsilon = 0.4046, delta = 1e-05), clip value = 0.5560206989243 for alpha = 36.0
Train Epoch: 3 (epsilon = 0.4059, delta = 1e-05), clip value = 0.5560206989243 for alpha = 36.0
Train Epoch: 3 (epsilon = 0.4072, delta = 1e-05), clip value = 0.5560206989243 for alpha = 36.0
Train Epoch: 3 (epsilon = 0.4085, delta = 1e-05), clip value = 0.5560206989243 for alpha = 36.0
Train Epoch: 3 (epsilon = 0.4098, delta = 1e-05), clip value = 0.5560206989243 for alpha = 35.0
Train Epoch: 3 (epsilon = 0.4110, delta = 1e-05), clip value = 0.5560206989243 for alpha = 35.0
Train Epoch: 3 (epsilon = 0.4123, delta = 1e-05), clip value = 0.5560206989243 for alpha = 35.0
Train Epoch: 3 (epsilon = 0.4136, delta = 1e-05), clip value = 0.5560206989243 for alpha = 35.0
Train Epoch: 3 (epsilon = 0.4148, delta = 1e-05), clip value = 0.5560206989243 for alpha = 35.0
Train Epoch: 3 (epsilon = 0.4161, delta = 1e-05), clip value = 0.5560206989243 for alpha = 35.0
Train Epoch: 3 (epsilon = 0.4174, delta = 1e-05), clip value = 0.5560206989243 for alpha = 35.0
Train Epoch: 3 (epsilon = 0.4186, delta = 1e-05), clip value = 0.5560206989243 for alpha = 35.0
Train Epoch: 3 (epsilon = 0.4199, delta = 1e-05), clip value = 0.5560206989243 for alpha = 35.0
Train Epoch: 3 (epsilon = 0.4212, delta = 1e-05), clip value = 0.5560206989243 for alpha = 35.0
Train Epoch: 3 (epsilon = 0.4224, delta = 1e-05), clip value = 0.5560206989243 for alpha = 35.0
Train Epoch: 3 (epsilon = 0.4237, delta = 1e-05), clip value = 0.5560206989243 for alpha = 35.0
Train Epoch: 3 (epsilon = 0.4249, delta = 1e-05), clip value = 0.5560206989243 for alpha = 34.0
Train Epoch: 3 (epsilon = 0.4261, delta = 1e-05), clip value = 0.5560206989243 for alpha = 34.0
Train Epoch: 3 (epsilon = 0.4274, delta = 1e-05), clip value = 0.5560206989243 for alpha = 34.0
Train Epoch: 3 (epsilon = 0.4286, delta = 1e-05), clip value = 0.5560206989243 for alpha = 34.0
Train Epoch: 3 (epsilon = 0.4298, delta = 1e-05), clip value = 0.5560206989243 for alpha = 34.0
Train Epoch: 3 (epsilon = 0.4310, delta = 1e-05), clip value = 0.5560206989243 for alpha = 34.0
Train Epoch: 3 (epsilon = 0.4323, delta = 1e-05), clip value = 0.5560206989243 for alpha = 34.0
Train Epoch: 3 (epsilon = 0.4335, delta = 1e-05), clip value = 0.5560206989243 for alpha = 34.0
Train Epoch: 3 (epsilon = 0.4347, delta = 1e-05), clip value = 0.5560206989243 for alpha = 34.0
Train Epoch: 3 (epsilon = 0.4359, delta = 1e-05), clip value = 0.5560206989243 for alpha = 34.0
Train Epoch: 3 (epsilon = 0.4371, delta = 1e-05), clip value = 0.5560206989243 for alpha = 34.0
Train Epoch: 3 (epsilon = 0.4384, delta = 1e-05), clip value = 0.5560206989243 for alpha = 34.0
Train Epoch: 3 (epsilon = 0.4396, delta = 1e-05), clip value = 0.5560206989243 for alpha = 34.0
Train Epoch: 3 (epsilon = 0.4408, delta = 1e-05), clip value = 0.5560206989243 for alpha = 33.0
Train Epoch: 3 (epsilon = 0.4420, delta = 1e-05), clip value = 0.5560206989243 for alpha = 33.0
Train Epoch: 3 (epsilon = 0.4432, delta = 1e-05), clip value = 0.5560206989243 for alpha = 33.0
Train Epoch: 3 (epsilon = 0.4443, delta = 1e-05), clip value = 0.5560206989243 for alpha = 33.0
Train Epoch: 3 (epsilon = 0.4455, delta = 1e-05), clip value = 0.5560206989243 for alpha = 33.0
Train Epoch: 3 (epsilon = 0.4467, delta = 1e-05), clip value = 0.5560206989243 for alpha = 33.0
Train Epoch: 3 (epsilon = 0.4479, delta = 1e-05), clip value = 0.5560206989243 for alpha = 33.0
Train Epoch: 3 (epsilon = 0.4491, delta = 1e-05), clip value = 0.5560206989243 for alpha = 33.0
Train Epoch: 3 (epsilon = 0.4502, delta = 1e-05), clip value = 0.5560206989243 for alpha = 33.0
Train Epoch: 3 (epsilon = 0.4514, delta = 1e-05), clip value = 0.5560206989243 for alpha = 33.0
Epoch 3 Test Accuracy: 0.4501
Train Epoch: 4 (epsilon = 0.4526, delta = 1e-05), clip value = 0.5220300817376 for alpha = 33.0
Train Epoch: 4 (epsilon = 0.4538, delta = 1e-05), clip value = 0.5220300817376 for alpha = 33.0
Train Epoch: 4 (epsilon = 0.4550, delta = 1e-05), clip value = 0.5220300817376 for alpha = 33.0
Train Epoch: 4 (epsilon = 0.4562, delta = 1e-05), clip value = 0.5220300817376 for alpha = 33.0
Train Epoch: 4 (epsilon = 0.4573, delta = 1e-05), clip value = 0.5220300817376 for alpha = 32.0
Train Epoch: 4 (epsilon = 0.4585, delta = 1e-05), clip value = 0.5220300817376 for alpha = 32.0
Train Epoch: 4 (epsilon = 0.4596, delta = 1e-05), clip value = 0.5220300817376 for alpha = 32.0
Train Epoch: 4 (epsilon = 0.4608, delta = 1e-05), clip value = 0.5220300817376 for alpha = 32.0
