Train Epoch: 0 (epsilon = 1.7584, delta = 1e-05), clip value = 0.07 for alpha = 7.3
Train Epoch: 0 (epsilon = 1.7631, delta = 1e-05), clip value = 0.07 for alpha = 7.3
Train Epoch: 0 (epsilon = 1.7678, delta = 1e-05), clip value = 0.07 for alpha = 7.3
Train Epoch: 0 (epsilon = 1.7725, delta = 1e-05), clip value = 0.07 for alpha = 7.3
Train Epoch: 0 (epsilon = 1.7769, delta = 1e-05), clip value = 0.07 for alpha = 7.2
Train Epoch: 0 (epsilon = 1.7813, delta = 1e-05), clip value = 0.07 for alpha = 7.2
Train Epoch: 0 (epsilon = 1.7857, delta = 1e-05), clip value = 0.07 for alpha = 7.2
Train Epoch: 0 (epsilon = 1.7901, delta = 1e-05), clip value = 0.07 for alpha = 7.2
Train Epoch: 0 (epsilon = 1.7945, delta = 1e-05), clip value = 0.07 for alpha = 7.2
Train Epoch: 0 (epsilon = 1.7989, delta = 1e-05), clip value = 0.07 for alpha = 7.2
Train Epoch: 0 (epsilon = 1.8033, delta = 1e-05), clip value = 0.07 for alpha = 7.2
Train Epoch: 0 (epsilon = 1.8077, delta = 1e-05), clip value = 0.07 for alpha = 7.2
Train Epoch: 0 (epsilon = 1.8122, delta = 1e-05), clip value = 0.07 for alpha = 7.2
Train Epoch: 0 (epsilon = 1.8166, delta = 1e-05), clip value = 0.07 for alpha = 7.2
0.6400000000000001
Train Epoch: 0 (epsilon = 1.8210, delta = 1e-05), clip value = 0.07 for alpha = 7.2
Acc :  0.0664
Train Epoch: 0 (epsilon = 1.8254, delta = 1e-05), clip value = 0.09 for alpha = 7.2
Train Epoch: 0 (epsilon = 1.8298, delta = 1e-05), clip value = 0.09 for alpha = 7.2
Train Epoch: 0 (epsilon = 1.8342, delta = 1e-05), clip value = 0.09 for alpha = 7.2
Train Epoch: 0 (epsilon = 1.8386, delta = 1e-05), clip value = 0.09 for alpha = 7.2
Train Epoch: 0 (epsilon = 1.8430, delta = 1e-05), clip value = 0.09 for alpha = 7.2
Train Epoch: 0 (epsilon = 1.8474, delta = 1e-05), clip value = 0.09 for alpha = 7.2
Train Epoch: 0 (epsilon = 1.8518, delta = 1e-05), clip value = 0.09 for alpha = 7.2
Train Epoch: 0 (epsilon = 1.8562, delta = 1e-05), clip value = 0.09 for alpha = 7.2
Train Epoch: 0 (epsilon = 1.8606, delta = 1e-05), clip value = 0.09 for alpha = 7.1
Train Epoch: 0 (epsilon = 1.8647, delta = 1e-05), clip value = 0.09 for alpha = 7.1
Train Epoch: 0 (epsilon = 1.8689, delta = 1e-05), clip value = 0.09 for alpha = 7.1
Train Epoch: 0 (epsilon = 1.8731, delta = 1e-05), clip value = 0.09 for alpha = 7.1
Train Epoch: 0 (epsilon = 1.8773, delta = 1e-05), clip value = 0.09 for alpha = 7.1
Train Epoch: 0 (epsilon = 1.8814, delta = 1e-05), clip value = 0.09 for alpha = 7.1
Train Epoch: 0 (epsilon = 1.8856, delta = 1e-05), clip value = 0.09 for alpha = 7.1
Train Epoch: 0 (epsilon = 1.8898, delta = 1e-05), clip value = 0.09 for alpha = 7.1
Train Epoch: 0 (epsilon = 1.8939, delta = 1e-05), clip value = 0.09 for alpha = 7.1
Train Epoch: 0 (epsilon = 1.8981, delta = 1e-05), clip value = 0.09 for alpha = 7.1
Train Epoch: 0 (epsilon = 1.9023, delta = 1e-05), clip value = 0.09 for alpha = 7.1
Train Epoch: 0 (epsilon = 1.9065, delta = 1e-05), clip value = 0.09 for alpha = 7.1
Train Epoch: 0 (epsilon = 1.9106, delta = 1e-05), clip value = 0.09 for alpha = 7.1
Train Epoch: 0 (epsilon = 1.9148, delta = 1e-05), clip value = 0.09 for alpha = 7.1
Train Epoch: 0 (epsilon = 1.9190, delta = 1e-05), clip value = 0.09 for alpha = 7.1
Train Epoch: 0 (epsilon = 1.9231, delta = 1e-05), clip value = 0.09 for alpha = 7.1
Train Epoch: 0 (epsilon = 1.9273, delta = 1e-05), clip value = 0.09 for alpha = 7.1
Train Epoch: 0 (epsilon = 1.9315, delta = 1e-05), clip value = 0.09 for alpha = 7.1
Train Epoch: 0 (epsilon = 1.9357, delta = 1e-05), clip value = 0.09 for alpha = 7.1
Train Epoch: 0 (epsilon = 1.9398, delta = 1e-05), clip value = 0.09 for alpha = 7.1
Train Epoch: 0 (epsilon = 1.9440, delta = 1e-05), clip value = 0.09 for alpha = 7.1
Train Epoch: 0 (epsilon = 1.9482, delta = 1e-05), clip value = 0.09 for alpha = 7.1
