
Train Epoch: 1 (epsilon = 0.2042, delta = 1e-05), clip value = 1.211333511978 for alpha = 63.0
Train Epoch: 1 (epsilon = 0.2051, delta = 1e-05), clip value = 1.211333511978 for alpha = 63.0
Train Epoch: 1 (epsilon = 0.2060, delta = 1e-05), clip value = 1.211333511978 for alpha = 63.0
Train Epoch: 1 (epsilon = 0.2069, delta = 1e-05), clip value = 1.211333511978 for alpha = 63.0
Train Epoch: 1 (epsilon = 0.2078, delta = 1e-05), clip value = 1.211333511978 for alpha = 63.0
Epoch 1 Test Accuracy: 0.7694
Train Epoch: 2 (epsilon = 0.2087, delta = 1e-05), clip value = 1.080898993944 for alpha = 63.0
Train Epoch: 2 (epsilon = 0.2096, delta = 1e-05), clip value = 1.080898993944 for alpha = 63.0
Train Epoch: 2 (epsilon = 0.2105, delta = 1e-05), clip value = 1.080898993944 for alpha = 63.0
Train Epoch: 2 (epsilon = 0.2113, delta = 1e-05), clip value = 1.080898993944 for alpha = 63.0
Train Epoch: 2 (epsilon = 0.2122, delta = 1e-05), clip value = 1.080898993944 for alpha = 63.0
Train Epoch: 2 (epsilon = 0.2131, delta = 1e-05), clip value = 1.080898993944 for alpha = 63.0
Train Epoch: 2 (epsilon = 0.2140, delta = 1e-05), clip value = 1.080898993944 for alpha = 62.0
Train Epoch: 2 (epsilon = 0.2149, delta = 1e-05), clip value = 1.080898993944 for alpha = 62.0
Train Epoch: 2 (epsilon = 0.2158, delta = 1e-05), clip value = 1.080898993944 for alpha = 62.0
Train Epoch: 2 (epsilon = 0.2166, delta = 1e-05), clip value = 1.080898993944 for alpha = 62.0
Train Epoch: 2 (epsilon = 0.2175, delta = 1e-05), clip value = 1.080898993944 for alpha = 62.0
Train Epoch: 2 (epsilon = 0.2184, delta = 1e-05), clip value = 1.080898993944 for alpha = 61.0
Train Epoch: 2 (epsilon = 0.2192, delta = 1e-05), clip value = 1.080898993944 for alpha = 61.0
Train Epoch: 2 (epsilon = 0.2201, delta = 1e-05), clip value = 1.080898993944 for alpha = 61.0
Train Epoch: 2 (epsilon = 0.2209, delta = 1e-05), clip value = 1.080898993944 for alpha = 61.0
Train Epoch: 2 (epsilon = 0.2218, delta = 1e-05), clip value = 1.080898993944 for alpha = 61.0
Train Epoch: 2 (epsilon = 0.2226, delta = 1e-05), clip value = 1.080898993944 for alpha = 60.0
Train Epoch: 2 (epsilon = 0.2235, delta = 1e-05), clip value = 1.080898993944 for alpha = 60.0
Train Epoch: 2 (epsilon = 0.2243, delta = 1e-05), clip value = 1.080898993944 for alpha = 60.0
Train Epoch: 2 (epsilon = 0.2252, delta = 1e-05), clip value = 1.080898993944 for alpha = 60.0
Train Epoch: 2 (epsilon = 0.2260, delta = 1e-05), clip value = 1.080898993944 for alpha = 60.0
Train Epoch: 2 (epsilon = 0.2269, delta = 1e-05), clip value = 1.080898993944 for alpha = 59.0
Train Epoch: 2 (epsilon = 0.2277, delta = 1e-05), clip value = 1.080898993944 for alpha = 59.0
Train Epoch: 2 (epsilon = 0.2285, delta = 1e-05), clip value = 1.080898993944 for alpha = 59.0
Train Epoch: 2 (epsilon = 0.2293, delta = 1e-05), clip value = 1.080898993944 for alpha = 59.0
Train Epoch: 2 (epsilon = 0.2302, delta = 1e-05), clip value = 1.080898993944 for alpha = 59.0
Train Epoch: 2 (epsilon = 0.2310, delta = 1e-05), clip value = 1.080898993944 for alpha = 59.0
Train Epoch: 2 (epsilon = 0.2318, delta = 1e-05), clip value = 1.080898993944 for alpha = 58.0
Train Epoch: 2 (epsilon = 0.2326, delta = 1e-05), clip value = 1.080898993944 for alpha = 58.0
Train Epoch: 2 (epsilon = 0.2334, delta = 1e-05), clip value = 1.080898993944 for alpha = 58.0
Train Epoch: 2 (epsilon = 0.2342, delta = 1e-05), clip value = 1.080898993944 for alpha = 58.0
Train Epoch: 2 (epsilon = 0.2351, delta = 1e-05), clip value = 1.080898993944 for alpha = 58.0
Train Epoch: 2 (epsilon = 0.2359, delta = 1e-05), clip value = 1.080898993944 for alpha = 58.0
Train Epoch: 2 (epsilon = 0.2367, delta = 1e-05), clip value = 1.080898993944 for alpha = 57.0
Train Epoch: 2 (epsilon = 0.2375, delta = 1e-05), clip value = 1.080898993944 for alpha = 57.0
Train Epoch: 2 (epsilon = 0.2383, delta = 1e-05), clip value = 1.080898993944 for alpha = 57.0
Train Epoch: 2 (epsilon = 0.2391, delta = 1e-05), clip value = 1.080898993944 for alpha = 57.0
Train Epoch: 2 (epsilon = 0.2399, delta = 1e-05), clip value = 1.080898993944 for alpha = 57.0
Train Epoch: 2 (epsilon = 0.2406, delta = 1e-05), clip value = 1.080898993944 for alpha = 57.0
Train Epoch: 2 (epsilon = 0.2414, delta = 1e-05), clip value = 1.080898993944 for alpha = 57.0
Train Epoch: 2 (epsilon = 0.2422, delta = 1e-05), clip value = 1.080898993944 for alpha = 56.0
Train Epoch: 2 (epsilon = 0.2430, delta = 1e-05), clip value = 1.080898993944 for alpha = 56.0
Train Epoch: 2 (epsilon = 0.2438, delta = 1e-05), clip value = 1.080898993944 for alpha = 56.0
Train Epoch: 2 (epsilon = 0.2446, delta = 1e-05), clip value = 1.080898993944 for alpha = 56.0
Train Epoch: 2 (epsilon = 0.2454, delta = 1e-05), clip value = 1.080898993944 for alpha = 56.0
Train Epoch: 2 (epsilon = 0.2461, delta = 1e-05), clip value = 1.080898993944 for alpha = 56.0
Train Epoch: 2 (epsilon = 0.2469, delta = 1e-05), clip value = 1.080898993944 for alpha = 56.0
Train Epoch: 2 (epsilon = 0.2477, delta = 1e-05), clip value = 1.080898993944 for alpha = 55.0
Train Epoch: 2 (epsilon = 0.2484, delta = 1e-05), clip value = 1.080898993944 for alpha = 55.0
Train Epoch: 2 (epsilon = 0.2492, delta = 1e-05), clip value = 1.080898993944 for alpha = 55.0
Train Epoch: 2 (epsilon = 0.2500, delta = 1e-05), clip value = 1.080898993944 for alpha = 55.0
Train Epoch: 2 (epsilon = 0.2507, delta = 1e-05), clip value = 1.080898993944 for alpha = 55.0
Train Epoch: 2 (epsilon = 0.2515, delta = 1e-05), clip value = 1.080898993944 for alpha = 55.0
Train Epoch: 2 (epsilon = 0.2523, delta = 1e-05), clip value = 1.080898993944 for alpha = 55.0
Train Epoch: 2 (epsilon = 0.2530, delta = 1e-05), clip value = 1.080898993944 for alpha = 54.0
Train Epoch: 2 (epsilon = 0.2538, delta = 1e-05), clip value = 1.080898993944 for alpha = 54.0
Train Epoch: 2 (epsilon = 0.2545, delta = 1e-05), clip value = 1.080898993944 for alpha = 54.0
Train Epoch: 2 (epsilon = 0.2553, delta = 1e-05), clip value = 1.080898993944 for alpha = 54.0
Train Epoch: 2 (epsilon = 0.2560, delta = 1e-05), clip value = 1.080898993944 for alpha = 54.0
Epoch 2 Test Accuracy: 0.7909
Train Epoch: 3 (epsilon = 0.2568, delta = 1e-05), clip value = 0.963578445946 for alpha = 54.0
Train Epoch: 3 (epsilon = 0.2575, delta = 1e-05), clip value = 0.963578445946 for alpha = 54.0
Train Epoch: 3 (epsilon = 0.2583, delta = 1e-05), clip value = 0.963578445946 for alpha = 54.0
Train Epoch: 3 (epsilon = 0.2590, delta = 1e-05), clip value = 0.963578445946 for alpha = 53.0
Train Epoch: 3 (epsilon = 0.2597, delta = 1e-05), clip value = 0.963578445946 for alpha = 53.0
Train Epoch: 3 (epsilon = 0.2605, delta = 1e-05), clip value = 0.963578445946 for alpha = 53.0
Train Epoch: 3 (epsilon = 0.2612, delta = 1e-05), clip value = 0.963578445946 for alpha = 53.0
Train Epoch: 3 (epsilon = 0.2620, delta = 1e-05), clip value = 0.963578445946 for alpha = 53.0
Train Epoch: 3 (epsilon = 0.2627, delta = 1e-05), clip value = 0.963578445946 for alpha = 53.0
Train Epoch: 3 (epsilon = 0.2634, delta = 1e-05), clip value = 0.963578445946 for alpha = 53.0
Train Epoch: 3 (epsilon = 0.2642, delta = 1e-05), clip value = 0.963578445946 for alpha = 53.0
Train Epoch: 3 (epsilon = 0.2649, delta = 1e-05), clip value = 0.963578445946 for alpha = 52.0
Train Epoch: 3 (epsilon = 0.2656, delta = 1e-05), clip value = 0.963578445946 for alpha = 52.0
Train Epoch: 3 (epsilon = 0.2663, delta = 1e-05), clip value = 0.963578445946 for alpha = 52.0
Train Epoch: 3 (epsilon = 0.2670, delta = 1e-05), clip value = 0.963578445946 for alpha = 52.0
Train Epoch: 3 (epsilon = 0.2678, delta = 1e-05), clip value = 0.963578445946 for alpha = 52.0
Train Epoch: 3 (epsilon = 0.2685, delta = 1e-05), clip value = 0.963578445946 for alpha = 52.0
Train Epoch: 3 (epsilon = 0.2692, delta = 1e-05), clip value = 0.963578445946 for alpha = 52.0
Train Epoch: 3 (epsilon = 0.2699, delta = 1e-05), clip value = 0.963578445946 for alpha = 52.0
Train Epoch: 3 (epsilon = 0.2706, delta = 1e-05), clip value = 0.963578445946 for alpha = 52.0
Train Epoch: 3 (epsilon = 0.2713, delta = 1e-05), clip value = 0.963578445946 for alpha = 51.0
Train Epoch: 3 (epsilon = 0.2721, delta = 1e-05), clip value = 0.963578445946 for alpha = 51.0
Train Epoch: 3 (epsilon = 0.2728, delta = 1e-05), clip value = 0.963578445946 for alpha = 51.0
Train Epoch: 3 (epsilon = 0.2735, delta = 1e-05), clip value = 0.963578445946 for alpha = 51.0
Train Epoch: 3 (epsilon = 0.2742, delta = 1e-05), clip value = 0.963578445946 for alpha = 51.0
Train Epoch: 3 (epsilon = 0.2749, delta = 1e-05), clip value = 0.963578445946 for alpha = 51.0
Train Epoch: 3 (epsilon = 0.2756, delta = 1e-05), clip value = 0.963578445946 for alpha = 51.0
Train Epoch: 3 (epsilon = 0.2763, delta = 1e-05), clip value = 0.963578445946 for alpha = 51.0
Train Epoch: 3 (epsilon = 0.2770, delta = 1e-05), clip value = 0.963578445946 for alpha = 51.0
Train Epoch: 3 (epsilon = 0.2777, delta = 1e-05), clip value = 0.963578445946 for alpha = 50.0
Train Epoch: 3 (epsilon = 0.2784, delta = 1e-05), clip value = 0.963578445946 for alpha = 50.0
Train Epoch: 3 (epsilon = 0.2791, delta = 1e-05), clip value = 0.963578445946 for alpha = 50.0
