Epoch 24 Test Accuracy: 0.8385
Train Epoch: 25 (epsilon = 0.7821, delta = 1e-05), clip value = 0.4504397062500003 for alpha = 22.0
Train Epoch: 25 (epsilon = 0.7824, delta = 1e-05), clip value = 0.4504397062500003 for alpha = 22.0
Train Epoch: 25 (epsilon = 0.7826, delta = 1e-05), clip value = 0.4504397062500003 for alpha = 21.0
Train Epoch: 25 (epsilon = 0.7829, delta = 1e-05), clip value = 0.4504397062500003 for alpha = 21.0
Train Epoch: 25 (epsilon = 0.7832, delta = 1e-05), clip value = 0.4504397062500003 for alpha = 21.0
Train Epoch: 25 (epsilon = 0.7835, delta = 1e-05), clip value = 0.4504397062500003 for alpha = 21.0
Train Epoch: 25 (epsilon = 0.7837, delta = 1e-05), clip value = 0.4504397062500003 for alpha = 21.0
Train Epoch: 25 (epsilon = 0.7840, delta = 1e-05), clip value = 0.4504397062500003 for alpha = 21.0
Train Epoch: 25 (epsilon = 0.7843, delta = 1e-05), clip value = 0.4504397062500003 for alpha = 21.0
Train Epoch: 25 (epsilon = 0.7846, delta = 1e-05), clip value = 0.4504397062500003 for alpha = 21.0
Train Epoch: 25 (epsilon = 0.7849, delta = 1e-05), clip value = 0.4504397062500003 for alpha = 21.0
Train Epoch: 25 (epsilon = 0.7851, delta = 1e-05), clip value = 0.4504397062500003 for alpha = 21.0
Train Epoch: 25 (epsilon = 0.7854, delta = 1e-05), clip value = 0.4504397062500003 for alpha = 21.0
Train Epoch: 25 (epsilon = 0.7857, delta = 1e-05), clip value = 0.4504397062500003 for alpha = 21.0
Train Epoch: 25 (epsilon = 0.7860, delta = 1e-05), clip value = 0.4504397062500003 for alpha = 21.0
Train Epoch: 25 (epsilon = 0.7862, delta = 1e-05), clip value = 0.4504397062500003 for alpha = 21.0
Train Epoch: 25 (epsilon = 0.7865, delta = 1e-05), clip value = 0.4504397062500003 for alpha = 21.0
Train Epoch: 25 (epsilon = 0.7868, delta = 1e-05), clip value = 0.4504397062500003 for alpha = 21.0
Train Epoch: 25 (epsilon = 0.7871, delta = 1e-05), clip value = 0.4504397062500003 for alpha = 21.0
Train Epoch: 25 (epsilon = 0.7873, delta = 1e-05), clip value = 0.4504397062500003 for alpha = 21.0
Train Epoch: 25 (epsilon = 0.7876, delta = 1e-05), clip value = 0.4504397062500003 for alpha = 21.0
Train Epoch: 25 (epsilon = 0.7879, delta = 1e-05), clip value = 0.4504397062500003 for alpha = 21.0
Train Epoch: 25 (epsilon = 0.7882, delta = 1e-05), clip value = 0.4504397062500003 for alpha = 21.0
Train Epoch: 25 (epsilon = 0.7884, delta = 1e-05), clip value = 0.4504397062500003 for alpha = 21.0
Train Epoch: 25 (epsilon = 0.7887, delta = 1e-05), clip value = 0.4504397062500003 for alpha = 21.0
Train Epoch: 25 (epsilon = 0.7890, delta = 1e-05), clip value = 0.4504397062500003 for alpha = 21.0
Train Epoch: 25 (epsilon = 0.7893, delta = 1e-05), clip value = 0.4504397062500003 for alpha = 21.0
Train Epoch: 25 (epsilon = 0.7895, delta = 1e-05), clip value = 0.4504397062500003 for alpha = 21.0
Train Epoch: 25 (epsilon = 0.7898, delta = 1e-05), clip value = 0.4504397062500003 for alpha = 21.0
Train Epoch: 25 (epsilon = 0.7901, delta = 1e-05), clip value = 0.4504397062500003 for alpha = 21.0
Train Epoch: 25 (epsilon = 0.7904, delta = 1e-05), clip value = 0.4504397062500003 for alpha = 21.0
Train Epoch: 25 (epsilon = 0.7906, delta = 1e-05), clip value = 0.4504397062500003 for alpha = 21.0
Train Epoch: 25 (epsilon = 0.7909, delta = 1e-05), clip value = 0.4504397062500003 for alpha = 21.0
Train Epoch: 25 (epsilon = 0.7912, delta = 1e-05), clip value = 0.4504397062500003 for alpha = 21.0
Train Epoch: 25 (epsilon = 0.7915, delta = 1e-05), clip value = 0.4504397062500003 for alpha = 21.0
