Train Epoch: 1 (epsilon = 0.6172, delta = 1e-05), clip value = 1.698498489584 for alpha = 19.0
Train Epoch: 1 (epsilon = 0.6190, delta = 1e-05), clip value = 1.698498489584 for alpha = 19.0
Train Epoch: 1 (epsilon = 0.6208, delta = 1e-05), clip value = 1.698498489584 for alpha = 19.0
Train Epoch: 1 (epsilon = 0.6227, delta = 1e-05), clip value = 1.698498489584 for alpha = 19.0
Train Epoch: 1 (epsilon = 0.6245, delta = 1e-05), clip value = 1.698498489584 for alpha = 19.0
Train Epoch: 1 (epsilon = 0.6264, delta = 1e-05), clip value = 1.698498489584 for alpha = 19.0
Train Epoch: 1 (epsilon = 0.6282, delta = 1e-05), clip value = 1.698498489584 for alpha = 19.0
Train Epoch: 1 (epsilon = 0.6300, delta = 1e-05), clip value = 1.698498489584 for alpha = 19.0
Train Epoch: 1 (epsilon = 0.6319, delta = 1e-05), clip value = 1.698498489584 for alpha = 19.0
Train Epoch: 1 (epsilon = 0.6337, delta = 1e-05), clip value = 1.698498489584 for alpha = 19.0
Train Epoch: 1 (epsilon = 0.6356, delta = 1e-05), clip value = 1.698498489584 for alpha = 19.0
Train Epoch: 1 (epsilon = 0.6374, delta = 1e-05), clip value = 1.698498489584 for alpha = 19.0
Train Epoch: 1 (epsilon = 0.6392, delta = 1e-05), clip value = 1.698498489584 for alpha = 19.0
Epoch 1 Test Accuracy: 0.8086
Train Epoch: 2 (epsilon = 0.6411, delta = 1e-05), clip value = 1.544775387712 for alpha = 19.0
Train Epoch: 2 (epsilon = 0.6429, delta = 1e-05), clip value = 1.544775387712 for alpha = 19.0
Train Epoch: 2 (epsilon = 0.6448, delta = 1e-05), clip value = 1.544775387712 for alpha = 19.0
Train Epoch: 2 (epsilon = 0.6466, delta = 1e-05), clip value = 1.544775387712 for alpha = 19.0
Train Epoch: 2 (epsilon = 0.6485, delta = 1e-05), clip value = 1.544775387712 for alpha = 19.0
Train Epoch: 2 (epsilon = 0.6503, delta = 1e-05), clip value = 1.544775387712 for alpha = 19.0
Train Epoch: 2 (epsilon = 0.6521, delta = 1e-05), clip value = 1.544775387712 for alpha = 19.0
Train Epoch: 2 (epsilon = 0.6540, delta = 1e-05), clip value = 1.544775387712 for alpha = 19.0
Train Epoch: 2 (epsilon = 0.6558, delta = 1e-05), clip value = 1.544775387712 for alpha = 19.0
Train Epoch: 2 (epsilon = 0.6577, delta = 1e-05), clip value = 1.544775387712 for alpha = 19.0
Train Epoch: 2 (epsilon = 0.6595, delta = 1e-05), clip value = 1.544775387712 for alpha = 19.0
Train Epoch: 2 (epsilon = 0.6613, delta = 1e-05), clip value = 1.544775387712 for alpha = 18.0
Train Epoch: 2 (epsilon = 0.6629, delta = 1e-05), clip value = 1.544775387712 for alpha = 18.0
Train Epoch: 2 (epsilon = 0.6646, delta = 1e-05), clip value = 1.544775387712 for alpha = 18.0
Train Epoch: 2 (epsilon = 0.6662, delta = 1e-05), clip value = 1.544775387712 for alpha = 18.0
Train Epoch: 2 (epsilon = 0.6678, delta = 1e-05), clip value = 1.544775387712 for alpha = 18.0
Train Epoch: 2 (epsilon = 0.6694, delta = 1e-05), clip value = 1.544775387712 for alpha = 18.0
Train Epoch: 2 (epsilon = 0.6711, delta = 1e-05), clip value = 1.544775387712 for alpha = 18.0
Train Epoch: 2 (epsilon = 0.6727, delta = 1e-05), clip value = 1.544775387712 for alpha = 18.0
Train Epoch: 2 (epsilon = 0.6743, delta = 1e-05), clip value = 1.544775387712 for alpha = 18.0
Train Epoch: 2 (epsilon = 0.6759, delta = 1e-05), clip value = 1.544775387712 for alpha = 18.0
Train Epoch: 2 (epsilon = 0.6776, delta = 1e-05), clip value = 1.544775387712 for alpha = 18.0
Train Epoch: 2 (epsilon = 0.6792, delta = 1e-05), clip value = 1.544775387712 for alpha = 18.0
Train Epoch: 2 (epsilon = 0.6808, delta = 1e-05), clip value = 1.544775387712 for alpha = 18.0
Train Epoch: 2 (epsilon = 0.6824, delta = 1e-05), clip value = 1.544775387712 for alpha = 18.0
Train Epoch: 2 (epsilon = 0.6841, delta = 1e-05), clip value = 1.544775387712 for alpha = 18.0
Train Epoch: 2 (epsilon = 0.6857, delta = 1e-05), clip value = 1.544775387712 for alpha = 18.0
Train Epoch: 2 (epsilon = 0.6873, delta = 1e-05), clip value = 1.544775387712 for alpha = 18.0
Train Epoch: 2 (epsilon = 0.6889, delta = 1e-05), clip value = 1.544775387712 for alpha = 18.0
Train Epoch: 2 (epsilon = 0.6906, delta = 1e-05), clip value = 1.544775387712 for alpha = 18.0
Train Epoch: 2 (epsilon = 0.6922, delta = 1e-05), clip value = 1.544775387712 for alpha = 18.0
Train Epoch: 2 (epsilon = 0.6938, delta = 1e-05), clip value = 1.544775387712 for alpha = 18.0
Train Epoch: 2 (epsilon = 0.6954, delta = 1e-05), clip value = 1.544775387712 for alpha = 18.0
Train Epoch: 2 (epsilon = 0.6971, delta = 1e-05), clip value = 1.544775387712 for alpha = 18.0
Train Epoch: 2 (epsilon = 0.6987, delta = 1e-05), clip value = 1.544775387712 for alpha = 18.0
Train Epoch: 2 (epsilon = 0.7003, delta = 1e-05), clip value = 1.544775387712 for alpha = 18.0
Train Epoch: 2 (epsilon = 0.7019, delta = 1e-05), clip value = 1.544775387712 for alpha = 18.0
Train Epoch: 2 (epsilon = 0.7036, delta = 1e-05), clip value = 1.544775387712 for alpha = 18.0
Train Epoch: 2 (epsilon = 0.7052, delta = 1e-05), clip value = 1.544775387712 for alpha = 18.0
Train Epoch: 2 (epsilon = 0.7068, delta = 1e-05), clip value = 1.544775387712 for alpha = 18.0
Train Epoch: 2 (epsilon = 0.7084, delta = 1e-05), clip value = 1.544775387712 for alpha = 18.0
Train Epoch: 2 (epsilon = 0.7101, delta = 1e-05), clip value = 1.544775387712 for alpha = 18.0
Train Epoch: 2 (epsilon = 0.7117, delta = 1e-05), clip value = 1.544775387712 for alpha = 18.0
Train Epoch: 2 (epsilon = 0.7133, delta = 1e-05), clip value = 1.544775387712 for alpha = 18.0
Train Epoch: 2 (epsilon = 0.7149, delta = 1e-05), clip value = 1.544775387712 for alpha = 18.0
Train Epoch: 2 (epsilon = 0.7166, delta = 1e-05), clip value = 1.544775387712 for alpha = 18.0
Train Epoch: 2 (epsilon = 0.7182, delta = 1e-05), clip value = 1.544775387712 for alpha = 18.0
Train Epoch: 2 (epsilon = 0.7198, delta = 1e-05), clip value = 1.544775387712 for alpha = 18.0
Train Epoch: 2 (epsilon = 0.7214, delta = 1e-05), clip value = 1.544775387712 for alpha = 18.0
Train Epoch: 2 (epsilon = 0.7231, delta = 1e-05), clip value = 1.544775387712 for alpha = 18.0
Train Epoch: 2 (epsilon = 0.7247, delta = 1e-05), clip value = 1.544775387712 for alpha = 18.0
Train Epoch: 2 (epsilon = 0.7263, delta = 1e-05), clip value = 1.544775387712 for alpha = 18.0
Train Epoch: 2 (epsilon = 0.7279, delta = 1e-05), clip value = 1.544775387712 for alpha = 18.0
Train Epoch: 2 (epsilon = 0.7296, delta = 1e-05), clip value = 1.544775387712 for alpha = 18.0
Train Epoch: 2 (epsilon = 0.7312, delta = 1e-05), clip value = 1.544775387712 for alpha = 18.0
Train Epoch: 2 (epsilon = 0.7328, delta = 1e-05), clip value = 1.544775387712 for alpha = 18.0
Train Epoch: 2 (epsilon = 0.7344, delta = 1e-05), clip value = 1.544775387712 for alpha = 18.0
Train Epoch: 2 (epsilon = 0.7361, delta = 1e-05), clip value = 1.544775387712 for alpha = 18.0
Train Epoch: 2 (epsilon = 0.7377, delta = 1e-05), clip value = 1.544775387712 for alpha = 18.0
Epoch 2 Test Accuracy: 0.8221
Train Epoch: 3 (epsilon = 0.7393, delta = 1e-05), clip value = 1.4069059054480002 for alpha = 18.0
Train Epoch: 3 (epsilon = 0.7409, delta = 1e-05), clip value = 1.4069059054480002 for alpha = 18.0
Train Epoch: 3 (epsilon = 0.7426, delta = 1e-05), clip value = 1.4069059054480002 for alpha = 18.0
Train Epoch: 3 (epsilon = 0.7442, delta = 1e-05), clip value = 1.4069059054480002 for alpha = 18.0
Train Epoch: 3 (epsilon = 0.7458, delta = 1e-05), clip value = 1.4069059054480002 for alpha = 18.0
Train Epoch: 3 (epsilon = 0.7474, delta = 1e-05), clip value = 1.4069059054480002 for alpha = 18.0
Train Epoch: 3 (epsilon = 0.7491, delta = 1e-05), clip value = 1.4069059054480002 for alpha = 18.0
Train Epoch: 3 (epsilon = 0.7507, delta = 1e-05), clip value = 1.4069059054480002 for alpha = 18.0
Train Epoch: 3 (epsilon = 0.7523, delta = 1e-05), clip value = 1.4069059054480002 for alpha = 18.0
Train Epoch: 3 (epsilon = 0.7539, delta = 1e-05), clip value = 1.4069059054480002 for alpha = 18.0
Train Epoch: 3 (epsilon = 0.7556, delta = 1e-05), clip value = 1.4069059054480002 for alpha = 18.0
Train Epoch: 3 (epsilon = 0.7572, delta = 1e-05), clip value = 1.4069059054480002 for alpha = 18.0
Train Epoch: 3 (epsilon = 0.7588, delta = 1e-05), clip value = 1.4069059054480002 for alpha = 18.0
Train Epoch: 3 (epsilon = 0.7604, delta = 1e-05), clip value = 1.4069059054480002 for alpha = 18.0
Train Epoch: 3 (epsilon = 0.7621, delta = 1e-05), clip value = 1.4069059054480002 for alpha = 18.0
Train Epoch: 3 (epsilon = 0.7637, delta = 1e-05), clip value = 1.4069059054480002 for alpha = 18.0
Train Epoch: 3 (epsilon = 0.7653, delta = 1e-05), clip value = 1.4069059054480002 for alpha = 18.0
Train Epoch: 3 (epsilon = 0.7669, delta = 1e-05), clip value = 1.4069059054480002 for alpha = 18.0
Train Epoch: 3 (epsilon = 0.7686, delta = 1e-05), clip value = 1.4069059054480002 for alpha = 18.0
Train Epoch: 3 (epsilon = 0.7702, delta = 1e-05), clip value = 1.4069059054480002 for alpha = 18.0
Train Epoch: 3 (epsilon = 0.7718, delta = 1e-05), clip value = 1.4069059054480002 for alpha = 18.0
Train Epoch: 3 (epsilon = 0.7734, delta = 1e-05), clip value = 1.4069059054480002 for alpha = 18.0
Train Epoch: 3 (epsilon = 0.7751, delta = 1e-05), clip value = 1.4069059054480002 for alpha = 18.0
Train Epoch: 3 (epsilon = 0.7767, delta = 1e-05), clip value = 1.4069059054480002 for alpha = 18.0
Train Epoch: 3 (epsilon = 0.7783, delta = 1e-05), clip value = 1.4069059054480002 for alpha = 18.0
Train Epoch: 3 (epsilon = 0.7799, delta = 1e-05), clip value = 1.4069059054480002 for alpha = 18.0
Train Epoch: 3 (epsilon = 0.7816, delta = 1e-05), clip value = 1.4069059054480002 for alpha = 18.0
Train Epoch: 3 (epsilon = 0.7832, delta = 1e-05), clip value = 1.4069059054480002 for alpha = 18.0
Train Epoch: 3 (epsilon = 0.7848, delta = 1e-05), clip value = 1.4069059054480002 for alpha = 18.0
Train Epoch: 3 (epsilon = 0.7864, delta = 1e-05), clip value = 1.4069059054480002 for alpha = 18.0
Train Epoch: 3 (epsilon = 0.7881, delta = 1e-05), clip value = 1.4069059054480002 for alpha = 18.0
Train Epoch: 3 (epsilon = 0.7897, delta = 1e-05), clip value = 1.4069059054480002 for alpha = 18.0
Train Epoch: 3 (epsilon = 0.7913, delta = 1e-05), clip value = 1.4069059054480002 for alpha = 18.0
Train Epoch: 3 (epsilon = 0.7929, delta = 1e-05), clip value = 1.4069059054480002 for alpha = 18.0
Train Epoch: 3 (epsilon = 0.7946, delta = 1e-05), clip value = 1.4069059054480002 for alpha = 18.0
Train Epoch: 3 (epsilon = 0.7962, delta = 1e-05), clip value = 1.4069059054480002 for alpha = 18.0
Train Epoch: 3 (epsilon = 0.7978, delta = 1e-05), clip value = 1.4069059054480002 for alpha = 18.0
Train Epoch: 3 (epsilon = 0.7994, delta = 1e-05), clip value = 1.4069059054480002 for alpha = 18.0
Train Epoch: 3 (epsilon = 0.8011, delta = 1e-05), clip value = 1.4069059054480002 for alpha = 18.0
Train Epoch: 3 (epsilon = 0.8027, delta = 1e-05), clip value = 1.4069059054480002 for alpha = 18.0
Train Epoch: 3 (epsilon = 0.8043, delta = 1e-05), clip value = 1.4069059054480002 for alpha = 18.0
Train Epoch: 3 (epsilon = 0.8059, delta = 1e-05), clip value = 1.4069059054480002 for alpha = 18.0
Train Epoch: 3 (epsilon = 0.8076, delta = 1e-05), clip value = 1.4069059054480002 for alpha = 18.0
Train Epoch: 3 (epsilon = 0.8092, delta = 1e-05), clip value = 1.4069059054480002 for alpha = 18.0
Train Epoch: 3 (epsilon = 0.8108, delta = 1e-05), clip value = 1.4069059054480002 for alpha = 18.0
Train Epoch: 3 (epsilon = 0.8124, delta = 1e-05), clip value = 1.4069059054480002 for alpha = 18.0
Train Epoch: 3 (epsilon = 0.8141, delta = 1e-05), clip value = 1.4069059054480002 for alpha = 18.0
Train Epoch: 3 (epsilon = 0.8157, delta = 1e-05), clip value = 1.4069059054480002 for alpha = 18.0
Train Epoch: 3 (epsilon = 0.8173, delta = 1e-05), clip value = 1.4069059054480002 for alpha = 18.0
Train Epoch: 3 (epsilon = 0.8189, delta = 1e-05), clip value = 1.4069059054480002 for alpha = 18.0
Train Epoch: 3 (epsilon = 0.8206, delta = 1e-05), clip value = 1.4069059054480002 for alpha = 18.0
Train Epoch: 3 (epsilon = 0.8222, delta = 1e-05), clip value = 1.4069059054480002 for alpha = 18.0
